1 ; 709016
2 ; 503952
3 ; 629550
4 ; 27495
5 ; 471435
6 ; 619241
7 ; 291570
8 ; 945625
9 ; 105483
10 ; 804900
11 ; 157982
12 ; 69863
13 ; 626770
14 ; 172063
15 ; 829077
16 ; 874299
17 ; 257231
18 ; 341926
19 ; 384359
20 ; 958993
21 ; 530954
22 ; 817697
23 ; 542089
24 ; 213912
25 ; 968381
26 ; 682716
27 ; 246561
28 ; 980922
29 ; 412605
30 ; 843494
31 ; 526871
32 ; 182568
33 ; 621541
34 ; 536432
35 ; 970916
36 ; 886408
37 ; 209692
38 ; 316954
39 ; 658373
40 ; 273641
41 ; 533284
42 ; 249813
43 ; 896425
44 ; 480778
45 ; 612504
46 ; 519323
47 ; 601952
48 ; 283118
49 ; 684606
50 ; 178261
51 ; 673978
52 ; 88764
53 ; 481617
54 ; 254187
55 ; 200086
56 ; 211940
57 ; 826406
58 ; 931942
59 ; 840575
60 ; 894353
61 ; 640865
62 ; 31063
63 ; 234098
64 ; 43351
65 ; 959945
66 ; 496874
67 ; 768540
68 ; 155629
69 ; 45306
70 ; 123995
71 ; 560872
72 ; 395234
73 ; 192322
74 ; 231025
75 ; 989747
76 ; 294615
77 ; 324195
78 ; 505147
79 ; 624573
80 ; 47464
81 ; 966937
82 ; 735404
83 ; 894831
84 ; 862119
85 ; 698948
86 ; 653397
87 ; 343364
88 ; 344244
89 ; 668964
90 ; 600157
91 ; 807412
92 ; 377577
93 ; 276112
94 ; 237932
95 ; 371125
96 ; 471454
97 ; 605819
98 ; 25657
99 ; 433312
100 ; 43896
101 ; 715338
102 ; 676837
103 ; 734175
104 ; 608989
105 ; 362627
106 ; 318604
107 ; 684775
108 ; 337301
109 ; 272342
110 ; 570696
111 ; 842986
112 ; 958110
113 ; 532690
114 ; 263111
115 ; 879682
116 ; 472172
117 ; 216883
118 ; 11178
119 ; 878905
120 ; 643783
121 ; 822961
122 ; 366804
123 ; 315774
124 ; 740895
125 ; 625721
126 ; 764639
127 ; 555872
128 ; 492023
129 ; 534506
130 ; 981914
131 ; 219871
132 ; 728702
133 ; 550597
134 ; 330706
135 ; 257138
136 ; 682239
137 ; 417978
138 ; 301368
139 ; 72084
140 ; 403514
141 ; 561194
142 ; 875882
143 ; 546985
144 ; 274577
145 ; 904082
146 ; 229887
147 ; 305044
148 ; 80789
149 ; 663107
150 ; 42129
151 ; 57442
152 ; 612265
153 ; 709049
154 ; 130078
155 ; 378113
156 ; 263360
157 ; 590814
158 ; 630470
159 ; 750009
160 ; 598955
161 ; 815096
162 ; 443524
163 ; 226603
164 ; 356284
165 ; 475645
166 ; 159577
167 ; 552370
168 ; 851067
169 ; 825904
170 ; 186886
171 ; 86002
172 ; 256682
173 ; 888747
174 ; 299368
175 ; 370115
176 ; 725136
177 ; 697081
178 ; 322990
179 ; 691182
180 ; 818585
181 ; 259056
182 ; 179600
183 ; 473458
184 ; 220149
185 ; 841633
186 ; 6920
187 ; 850628
188 ; 192776
189 ; 666265
190 ; 573463
191 ; 258956
192 ; 754896
193 ; 610432
194 ; 707120
195 ; 395650
196 ; 41635
197 ; 8792
198 ; 956173
199 ; 386227
200 ; 820309
201 ; 147685
202 ; 201477
203 ; 504603
204 ; 628983
205 ; 546750
206 ; 438565
207 ; 289671
208 ; 506809
209 ; 621402
210 ; 448423
211 ; 402109
212 ; 784925
213 ; 819915
214 ; 575690
215 ; 65184
216 ; 906645
217 ; 828868
218 ; 333026
219 ; 433272
220 ; 745694
221 ; 940695
222 ; 50405
223 ; 731882
224 ; 391243
225 ; 177105
226 ; 288081
227 ; 512899
228 ; 868493
229 ; 262098
230 ; 231969
231 ; 868818
232 ; 763548
233 ; 38349
234 ; 790208
235 ; 949715
236 ; 221344
237 ; 420701
238 ; 609636
239 ; 626698
240 ; 285367
241 ; 480513
242 ; 730944
243 ; 645589
244 ; 47925
245 ; 754621
246 ; 101249
247 ; 114603
248 ; 579711
249 ; 372657
250 ; 662837
251 ; 669746
252 ; 107417
253 ; 96479
254 ; 236833
255 ; 161708
256 ; 408143
257 ; 865458
258 ; 920538
259 ; 207988
260 ; 889350
261 ; 941375
262 ; 217190
263 ; 453999
264 ; 323119
265 ; 246677
266 ; 616898
267 ; 886913
268 ; 703443
269 ; 989849
270 ; 847493
271 ; 45990
272 ; 195332
273 ; 171631
274 ; 514058
275 ; 473135
276 ; 644449
277 ; 65858
278 ; 345876
279 ; 247448
280 ; 616056
281 ; 268656
282 ; 769548
283 ; 947500
284 ; 431999
285 ; 409740
286 ; 27034
287 ; 885104
288 ; 174491
289 ; 119582
290 ; 557373
291 ; 954307
292 ; 125446
293 ; 346182
294 ; 860811
295 ; 939378
296 ; 610104
